Date,Close,chg(close),Low,chg(low),High,chg(high)
02/10/2022 23:58,84.02,-0.07,83.62,1.06,85.18,0.74
02/11/2022 23:58,85.5,1.48,83.16,-0.46,86.04,0.86
2/14/2022 23:58:00,86.38,0.88,84.56,1.4,86.5,0.46
2/15/2022 23:58:00,83.55,-2.83,82.83,-1.73,85.73,-0.77
2/16/2022 23:58:00,84.46,0.91,82.28,-0.55,84.84,-0.89
2/17/2022 23:58:00,83.54,-0.92,82.76,0.48,84.01,-0.83
2/18/2022 23:58:00,84.25,0.71,82.16,-0.6,84.66,0.65
2/22/2022 23:58:00,85.79,1.54,83.65,1.49,87.74,3.08
2/23/2022 23:58:00,86.56,0.77,85.06,1.41,87.53,-0.21
2/24/2022 23:58:00,86.24,-0.32,85.2,0.14,92.04,4.51
2/25/2022 23:58:00,85.24,-1,84.48,-0.72,88.13,-3.91
2/28/2022 23:58:00,86.85,1.61,86.48,2,89.3,1.17
03/01/2022 23:58,89,2.15,87.16,0.68,90.5,1.2
03/02/2022 23:58,93.28,4.28,89.79,2.63,93.72,3.22
03/03/2022 23:58,93.46,0.18,92.39,2.6,96.31,2.59
03/04/2022 23:58,100.74,7.28,93.87,1.48,100.85,4.54
03/07/2022 23:58,103,2.26,99.72,5.85,108.5,7.65
03/08/2022 23:58,104.33,1.33,102.21,2.49,108.16,-0.34
03/09/2022 23:58,92.15,-12.18,94.92,-7.29,94.92,-13.24
03/10/2022 23:58,92.38,0.23,91.8,-3.12,96.72,1.8
03/11/2022 23:58,109.1,16.72,103.11,11.31,109.67,12.95
3/14/2022 23:58:00,91.96,-17.14,100.66,-2.45,109.03,-0.64
3/15/2022 23:58:00,89.46,-2.5,86.67,-13.99,90.98,-18.05
3/16/2022 23:58:00,87.53,-1.93,87.24,0.57,91.5,0.52
3/17/2022 23:58:00,93.04,5.51,93.08,5.84,93.54,2.04
3/18/2022 23:58:00,94.35,1.31,92.56,-0.52,95.03,1.49
3/21/2022 23:58:00,98.47,4.12,94.9,2.34,99,3.97
3/22/2022 23:58:00,98.19,-0.28,96.96,2.06,100.16,1.16
3/23/2022 23:58:00,101.22,3.03,98.65,1.69,101.61,1.45
3/24/2022 23:58:00,99.14,-2.08,98.07,-0.58,102.4,0.79
3/25/2022 23:58:00,100.61,1.47,96.53,-1.54,100.66,-1.74
3/28/2022 23:58:00,95.28,-5.33,92.5,-4.03,97.97,-2.69
3/29/2022 23:58:00,95.14,-0.14,90.85,-1.65,96.81,-1.16
3/30/2022 23:58:00,98.44,3.3,96.31,5.46,98.43,1.62
3/31/2022 23:58:00,95.51,-2.93,94.71,-1.6,98.3,-0.13
04/01/2022 23:58,97,1.49,94.43,-0.28,97.19,-1.11
04/04/2022 23:58,99.85,2.85,96,1.57,100,2.81
04/05/2022 23:58,99.05,-0.8,97.31,1.31,100.81,0.81
04/06/2022 23:58,95.63,-3.42,95.65,-1.66,100.21,-0.6
04/07/2022 23:58,96.12,0.49,94.39,-1.26,97.36,-2.85
04/08/2022 23:58,97.95,1.83,95.55,1.16,98,0.64
04/11/2022 23:58,98.48,0.53,94.02,-1.53,97.01,-0.99
04/12/2022 23:58,104.64,6.16,98.98,4.96,105.6,8.59
4/13/2022 23:58:00,102.24,-2.4,104.07,5.09,109,3.4
4/14/2022 23:58:00,103.6,1.36,100.38,-3.69,103.8,-5.2
4/18/2022 23:58:00,103.82,0.22,102.14,1.76,105.14,1.34
4/19/2022 23:58:00,99.23,-4.59,99.12,-3.02,103.79,-1.35
4/20/2022 23:58:00,99.74,0.51,98.41,-0.71,100.79,-3
4/21/2022 23:58:00,101.1,1.36,99.9,1.49,102.09,1.3
4/22/2022 23:58:00,98.93,-2.17,97.89,-2.01,100.49,-1.6
4/25/2022 23:58:00,96.07,-2.86,93.92,-3.97,97.89,-2.6
4/26/2022 23:58:00,97.61,1.54,95.45,1.53,98.58,0.69
4/27/2022 23:58:00,97.92,0.31,96.54,1.09,98.44,-0.14
4/28/2022 23:58:00,98.79,0.87,96.39,-0.15,99.05,0.61
4/29/2022 23:58:00,98.14,-0.65,97.6,1.21,100.46,1.41
05/02/2022 23:58,98.78,0.64,95.83,-1.77,99.5,-0.96
05/03/2022 23:58,97.45,-1.33,97.09,1.26,99.09,-0.41
05/04/2022 23:58,101.73,4.28,98.52,1.43,101.92,2.83
05/05/2022 23:58,102,0.27,100.62,2.1,104.11,2.19
05/06/2022 23:58,103.61,1.61,101,0.38,103.99,-0.12
05/09/2022 23:58,98.55,-5.06,97.89,-3.11,104.06,0.07
05/10/2022 23:58,95.84,-2.71,95.59,-2.3,99.01,-5.05
05/11/2022 23:58,100.08,4.24,95.23,-0.36,100.49,1.48
05/12/2022 23:58,99.64,-0.44,98.19,2.96,100.44,-0.05
5/13/2022 23:58:00,102.24,2.6,99.86,1.67,102.28,1.84
5/16/2022 23:58:00,103.37,1.13,103.3,3.44,103.3,1.02
5/17/2022 23:58:00,101.61,-1.76,101.04,-2.26,104.31,1.01
5/18/2022 23:58:00,98.76,-2.85,98.29,-2.75,103.02,-1.29
5/19/2022 23:58:00,101.24,2.48,96.9,-1.39,101.38,-1.64
5/20/2022 23:58:00,101.04,-0.2,100.11,3.21,101.62,0.24
5/23/2022 23:58:00,102.01,0.97,100.72,0.61,102.33,0.71
5/24/2022 23:58:00,102.28,0.27,100.69,-0.03,103.24,0.91
5/25/2022 23:58:00,103.01,0.73,102.3,1.61,103.37,0.13
5/26/2022 23:58:00,105.44,2.43,102.91,0.61,105.88,2.51
5/27/2022 23:58:00,106.2,0.76,104.15,1.24,106.33,0.45
5/31/2022 23:58:00,105.67,-0.53,105.33,1.18,109.8,3.47
06/01/2022 23:58,106.81,1.14,105.83,0.5,107.95,-1.85
06/02/2022 23:58,108.37,1.56,104.07,-1.76,108.91,0.96
06/03/2022 23:58,110.13,1.76,107.43,3.36,111.42,2.51
06/06/2022 23:58,110.26,0.13,111.07,3.64,111.07,-0.35
06/07/2022 23:58,111.85,1.59,110.31,-0.76,112.49,1.42
06/08/2022 23:58,114.19,2.34,112,1.69,115.06,2.57
06/09/2022 23:58,113.78,-0.41,113.39,1.39,114.53,-0.53
